,Pass Types,Corner Kicks,Outcomes,
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Yohei Takaoka,jp JPN,GK,28-224,33.0,978,726,248,51,0,3,0,0,0,0,0,0,718,4,0,Matches
Ranko Veselinović,rs SRB,DF,25-216,30.7,1577,1520,53,44,1,1,0,1,0,0,0,0,1446,4,2,Matches
Ryan Gauld,sct SCO,FW,MF,28-315,27.3,1221,1063,151,35,14,8,165,5,92,46,27,1,920,7,25,Matches
Brian White,us USA,FW,28-266,27.2,496,464,30,0,1,3,10,0,0,0,0,0,337,2,12,Matches
Pedro Vite,ec ECU,MF,22-231,22.4,1283,1244,39,25,3,16,18,9,3,3,0,0,1112,0,20,Matches
Mathías Laborda,uy URU,DF,25-041,21.7,1260,1114,142,29,2,4,25,111,0,0,0,0,1061,4,12,Matches
Alessandro Schöpf,at AUT,MF,DF,30-262,21.5,1031,1004,24,12,1,4,24,8,0,0,0,0,920,3,16,Matches
Andrés Cubas,py PAR,MF,28-157,21.5,1028,1003,23,23,0,15,1,0,0,0,0,0,922,2,9,Matches
Tristan Blackmon,us USA,DF,28-075,21.0,1379,1241,134,22,1,4,7,112,0,0,0,0,1189,4,9,Matches
Bjørn Inge Utvik,no NOR,DF,28-241,19.0,1218,1109,107,24,0,12,2,83,0,0,0,0,1070,2,9,Matches
Sebastian Berhalter,us USA,MF,23-162,20.7,1027,895,128,50,3,30,137,19,55,34,17,0,775,4,19,Matches
Fafà Picault,ht HAI,FW,MF,33-246,18.6,562,538,21,1,2,3,49,7,0,0,0,0,431,3,14,Matches
Ryan Raposo,ca CAN,DF,MF,25-235,17.6,734,671,62,13,0,4,88,35,14,9,2,0,558,1,14,Matches
Ali Ahmed,ca CAN,MF,DF,24-016,15.0,678,634,39,9,2,6,46,27,1,0,0,0,543,5,24,Matches
Javain Brown,jm JAM,DF,25-231,10.8,631,550,81,7,0,2,33,74,0,0,0,0,499,0,6,Matches
Luís Martins,pt POR,DF,MF,32-138,8.6,490,434,52,11,0,2,30,41,0,0,0,0,389,4,9,Matches
Sam Adekugbe,ca CAN,MF,FW,29-284,8.3,482,462,18,3,0,2,40,15,0,0,0,0,398,2,6,Matches
Levonte Johnson,ca CAN,FW,MF,25-225,7.4,152,147,4,0,0,0,8,0,0,0,0,0,117,1,5,Matches
Damir Kreilach,hr CRO,FW,35-193,5.2,128,123,4,0,0,0,1,0,0,0,0,0,104,1,2,Matches
Ralph Priso-Mbongue,ca CAN,MF,22-085,5.3,232,225,6,3,0,2,0,3,0,0,0,0,196,1,6,Matches
Belal Halbouni,sy SYR,DF,24-302,1.9,120,108,12,1,0,2,0,11,0,0,0,0,109,0,0,Matches
Édier Ocampo,co COL,DF,FW,21-023,2.0,58,57,1,0,0,1,10,1,0,0,0,0,43,0,4,Matches
Giuseppe Bovalina,au AUS,DF,FW,19-350,1.9,55,50,4,2,1,0,5,2,0,0,0,0,36,1,4,Matches
Stuart Armstrong,sct SCO,MF,FW,32-210,1.4,82,80,2,1,0,0,2,0,0,0,0,0,70,0,4,Matches
Deiber Caicedo,co COL,FW,DF,24-215,1.4,50,47,2,0,0,0,2,2,0,0,0,0,41,1,0,Matches
Isaac Boehmer,us USA,GK,22-341,1.0,36,22,14,5,0,0,0,0,0,0,0,0,17,0,0,Matches
Nicolas Fleuriau,ca CAN,DF,FW,22-158,0.4,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Jay Herdman,nz NZL,FW,20-073,0.1,9,8,1,1,0,0,0,0,0,0,0,0,8,0,0,Matches
Cyprian Kachwele,tz TAN,MF,19-254,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.4,34.0,17006,15548,1402,372,31,124,703,566,165,92,46,1,14034,56,231,
Opponent Total,,,27.8,34.0,18788,17263,1484,374,35,143,627,585,172,69,65,2,15811,41,295,