,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
8,Djordje Mihailovic,Colorado Rapids,0.55,,Off Target,4,Right Foot,,Kevin Cabral,Pass (Live),Kevin Cabral,Take-On
10,Djordje Mihailovic,Colorado Rapids,0.04,,Blocked,31,Right Foot,Free kick,Djordje Mihailovic,Fouled,Kevin Cabral,Pass (Live)
11,Kevin Cabral,Colorado Rapids,0.09,,Off Target,14,Left Foot,,Djordje Mihailovic,Shot,,
45+4,Kevin Cabral,Colorado Rapids,0.28,0.52,Saved,13,Right Foot,,Djordje Mihailovic,Pass (Live),Darren Yapi,Pass (Live)
,,,,,,,,,,,,
50,Djordje Mihailovic,Colorado Rapids,0.16,0.41,Goal,12,Right Foot,,Omir Fernandez,Pass (Live),Kevin Cabral,Pass (Live)
75,Omir Fernandez,Colorado Rapids,0.04,,Off Target,26,Right Foot,,Djordje Mihailovic,Pass (Live),Cole Bassett,Pass (Live)
78,Oliver Larraz,Colorado Rapids,0.04,,Off Target,27,Right Foot,,Djordje Mihailovic,Pass (Live),Calvin Harris,Pass (Live)
80,Rafael Navarro,Colorado Rapids,0.03,,Off Target,28,Right Foot,,Djordje Mihailovic,Pass (Live),Sam Vines,Pass (Live)
85,Omir Fernandez,Colorado Rapids,0.04,,Woodwork,17,Right Foot,,Oliver Larraz,Pass (Live),Sam Vines,Pass (Live)
89,Moïse Bombito,Colorado Rapids,0.09,0.14,Saved,9,Head,,Omir Fernandez,Pass (Live),Djordje Mihailovic,Pass (Live)
90+5,Djordje Mihailovic,Colorado Rapids,0.13,,Blocked,26,Right Foot,Free kick,Djordje Mihailovic,Fouled,Keegan Rosenberry,Pass (Live)